ρ,preferences,requested,residual,verifyResidual,β,ω,X,R,τ,sr,h,hbar,nfev,time,n,ns,smoothKnots,interpKind,x0,x1,commit,timestamp
0.5,CRRA,True,1.532107773982716e-14,0.0006232877489676936,1.4353620390543447,2.315633014566884,4.050009064519215,2.4429999999999676,0.14428571428571857,0.15911716082049956,0.6722596122569262,0.4689608364958781,10,19.98609948158264,101,150,4,linear,0.3614171094152372,0.8396830905778406,84ef022,2026-08-21T22:46:53
0.6,CRRA,True,3.0649927040826697e-12,0.0006054752841408995,1.1611736960559225,1.9585620229717606,4.044882383170944,2.4429999999925083,0.14428571428687126,0.1578138062241775,0.6720631374816158,0.46896083649587833,9,18.571356058120728,101,150,4,linear,0.14943130053140566,0.6722105422318372,84ef022,2026-08-21T22:46:29
0.7,CRRA,True,7.105427357601002e-13,3.2627061455348105e-05,0.9973561779560497,1.746514836066866,4.040081972989645,2.4430000000017364,0.14428571428592818,0.15657114041499196,0.6718789929790829,0.4689608364958782,9,18.721425533294678,101,150,4,linear,-0.002647323113615287,0.5576222799706484,84ef022,2026-08-21T22:46:07
0.8,CRRA,True,6.261657858885883e-14,0.00024291395293518647,0.8902838883438601,1.6085298495466485,4.035722999446671,2.4430000000001484,0.14428571428571343,0.1554872416359055,0.6717116361960194,0.4689608364958783,9,18.79254722595215,101,150,4,linear,-0.11621489145061566,0.475320624905329,84ef022,2026-08-21T22:45:44
0.9,CRRA,True,1.014077710692618e-12,0.0009449422824624465,0.8152039468106842,1.5127260222486303,4.031674413038895,2.4430000000024767,0.14428571428566703,0.15452516411462147,0.6715560717049133,0.46896083649587844,10,21.33516025543213,101,150,4,linear,-0.20431695556095028,0.4139133359558247,84ef022,2026-08-21T22:45:21
1.0,LOG,True,1.2323475573339238e-13,1.2279066652354231e-13,0.7606187875474917,1.45362739475499,4.028420994718893,2.4430000000003003,0.14428571428571388,0.15373694895582635,0.6714309739621297,0.4689608364958783,13,1.2689590454101562,101,50,4,linear,-0.2736229828365706,0.3740620840662873,84ef022,2026-08-21T22:41:09
1.1,CRRA,True,8.093525849517391e-14,0.00022130525309993487,0.7177450490229594,1.389842123139395,4.024469589875127,2.4429999999998024,0.14428571428571274,0.1529323406352341,0.6712789332628619,0.46896083649587844,10,20.037806749343872,101,150,4,linear,-0.33164085791773334,0.32919016021659436,84ef022,2026-08-21T22:41:33
1.2,CRRA,True,2.2648549702353193e-14,0.00019435002111267696,0.6844206255047689,1.3483564781985198,4.0212878395333025,2.443000000000057,0.14428571428570533,0.15224766895193093,0.6711564235645592,0.4689608364958783,9,18.441110610961914,101,150,4,linear,-0.3791826007952155,0.2988864272316222,84ef022,2026-08-21T22:41:56
1.3,CRRA,True,4.8627768478581856e-14,0.00013989279194370763,0.657501803300934,1.3150860670292597,4.0183005079263046,2.4430000000001186,0.14428571428571624,0.15162810939216392,0.6710413318522721,0.4689608364958783,9,18.555663585662842,101,150,4,linear,-0.419307772270961,0.273902113700321,84ef022,2026-08-21T22:42:18
1.4,CRRA,True,4.363176486776865e-14,0.0002133177245389195,0.6353015285384545,1.287724291888629,4.015510013574483,2.4429999999998935,0.14428571428571293,0.15105710898193378,0.6709337641384436,0.4689608364958783,9,18.50298285484314,101,150,4,linear,-0.4536555447020694,0.25287654567556495,84ef022,2026-08-21T22:42:41
1.5,CRRA,True,5.10702591327572e-15,0.00015267852090328216,0.6167825598208353,1.2652123860347073,4.012900555405477,2.4429999999999885,0.1442857142857143,0.15055112950688365,0.6708331229510464,0.4689608364958781,9,19.056284189224243,101,150,4,linear,-0.4832387323908191,0.2352400021854296,84ef022,2026-08-21T22:43:04
1.6,CRRA,True,4.591438340639797e-12,0.0001524501982183013,0.6009953775826301,1.2461807293412461,4.0103664500775285,2.4429999999887824,0.14428571428551865,0.1500777582030489,0.6707353397673512,0.46896083649587816,8,16.965455293655396,101,150,4,linear,-0.5091680356867729,0.2200834574722698,84ef022,2026-08-21T22:43:25
1.7,CRRA,True,2.737809978725636e-12,0.00018076128134081326,0.5874857094242052,1.2300083595131583,4.008072462479774,2.4429999999933103,0.14428571428542886,0.1496477431828995,0.6706467809786584,0.4689608364958783,8,16.918037176132202,101,150,4,linear,-0.5319033576439972,0.2070209657133922,84ef022,2026-08-21T22:43:46
1.8,CRRA,True,3.809397242093837e-12,0.00018965365690315483,0.5757320616470781,1.2160687529777294,4.005861810099261,2.442999999990695,0.14428571428481016,0.14924717380389577,0.6705614024261629,0.4689608364958783,8,16.90985631942749,101,150,4,linear,-0.5521128972633239,0.195623322223372,84ef022,2026-08-21T22:44:07
1.9,CRRA,True,6.622813408796446e-12,0.0001937672145124747,0.5654344670368506,1.2040058418746566,4.003778778640461,2.442999999983825,0.14428571428383907,0.1488745934342256,0.6704809196041558,0.4689608364958782,8,16.939574003219604,101,150,4,linear,-0.5701608751334529,0.1856541989302207,84ef022,2026-08-21T22:44:29
2.0,CRRA,True,2.8742563884520678e-12,0.00017684664741934863,0.5563256288283533,1.1933935797140705,4.0017736630469365,2.442999999992978,0.14428571428506295,0.14852586997260733,0.6704034168142567,0.4689608364958783,8,21.98810577392578,101,150,4,linear,-0.5864014928050609,0.17680099626404824,84ef022,2026-08-21T22:44:55
